sample,site,year,habitat,class,order,taxa,rel_ab_recalc
BEOL_2013-06-05_m,BEOL,2013,Multiple,Gastropoda,Basommatophora,Physa,0.3110841632210769
BEOL_2013-06-05_m,BEOL,2013,Multiple,Bivalvia,Veneroida,Pisidiidae,0.001184834050355447
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Diptera,Probezzia,0.001184834050355447
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Diptera,Simuliidae,0.01916931081469571
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Diptera,Simulium,0.12703630539904298
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Diptera,Tanypodinae,0.003650521155147149
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Diptera,Tipulidae,0.0013569430576700799
BEOL_2013-06-05_m,BEOL,2013,Multiple,Insecta,Hemiptera,Trichocorixa,0.019321495821163572
BEOL_2013-06-05_m_2,BEOL,2013,Multiple,Insecta,Coleoptera,Agabus,0.0015290520649847126
BEOL_2013-06-05_m_2,BEOL,2013,Multiple,Insecta,Ephemeroptera,Baetis,7.645260324923563e-4
BEOL_2013-06-05_m_2,BEOL,2013,Multiple,Insecta,Diptera,Caloparyphus,7.645260324923563e-4
BEOL_2013-06-05_m_2,BEOL,2013,Multiple,Malacostraca,Decapoda,Cambaridae,7.645260324923563e-4
BEOL_2013-06-05_m_2,BEOL,2013,Multiple,Insecta,Coleoptera,Gymnochthebius,7.645260324923563e-4
BEOL_2013-06-05_m_2,BEOL,2013,Multiple,Insecta,Trichoptera,Hydropsyche,0.0015290520649847126
BEOL_2013-06-05_m_2,BEOL,2013,Multiple,Insecta,Coleoptera,Tropisternus,7.645260324923563e-4
BEOL_2014-05-12_m,BEOL,2014,Multiple,Insecta,Ephemeroptera,Baetidae,0.019607843725490157
BEOL_2014-05-12_m,BEOL,2014,Multiple,Insecta,Diptera,Chironominae,0.1419853057709551
BEOL_2014-05-12_m,BEOL,2014,Multiple,Insecta,Ephemeroptera,Heptagenia,0.07921568485098049
BEOL_2014-05-12_m,BEOL,2014,Multiple,Insecta,Diptera,Orthocladiinae,0.47240196429387227
BEOL_2014-05-12_m,BEOL,2014,Multiple,Insecta,Diptera,Simulium,0.10698529304595596
BEOL_2014-05-12_m,BEOL,2014,Multiple,Insecta,Diptera,Tipula,0.013553919118995257
BEOL_2014-05-12_m_2,BEOL,2014,Multiple,Insecta,Ephemeroptera,Caenis,0.0012499999187500052
BEOL_2014-05-12_m_2,BEOL,2014,Multiple,Insecta,Diptera,Ceratopogonidae,0.02874999813125012
BEOL_2014-05-12_m_2,BEOL,2014,Multiple,Insecta,Diptera,Chironomidae,0.01624999894375007
BEOL_2014-05-12_m_2,BEOL,2014,Multiple,Insecta,Odonata,Coenagrionidae,0.0012499999187500052
BEOL_2014-05-12_m_2,BEOL,2014,Multiple,Collembola,Collembola,Collembola,0.007499999512500031
BEOL_2014-05-12_m_2,BEOL,2014,Multiple,Insecta,Diptera,Dasyhelea,0.0024999998375000105
BEOL_2014-05-12_m_2,BEOL,2014,Multiple,Insecta,Diptera,Diptera,0.0012499999187500052
BEOL_2014-05-12_m_2,BEOL,2014,Multiple,Insecta,Diptera,Ephydridae,0.0012499999187500052
BEOL_2014-05-12_m_2,BEOL,2014,Multiple,Insecta,Coleoptera,Ochthebius,0.0012499999187500052
BEOL_2014-05-12_m_2,BEOL,2014,Multiple,Gastropoda,Basommatophora,Physa,0.0024999998375000105
BEOL_2014-05-12_m_2,BEOL,2014,Multiple,Bivalvia,Veneroida,Pisidium,0.0024999998375000105
BEOL_2014-05-12_m_2,BEOL,2014,Multiple,Insecta,Ephemeroptera,Pseudocloeon,0.09749999366250041
BEOL_2014-05-12_m_2,BEOL,2014,Multiple,Insecta,Diptera,Tipulidae,0.0012499999187500052
BEOL_2014-05-12_m_2,BEOL,2014,Multiple,Arachnida,Trombidiformes,Trombidiformes,0.0012499999187500052
BEOL_2016-05-02_r,BEOL,2016,Riffle,Malacostraca,Decapoda,Decapoda,0.1249999999375
BEOL_2016-05-02_r,BEOL,2016,Riffle,Insecta,Trichoptera,Micrasema,0.1249999999375
BEOL_2016-05-02_r,BEOL,2016,Riffle,Insecta,Diptera,Simuliidae,0.249999999875
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Coleoptera,Agabus,8.576329995711835e-4
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Diptera,Allognosta,8.576329995711835e-4
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Ephemeroptera,Baetis,8.576329995711835e-4
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Ephemeroptera,Caenis,8.576329995711835e-4
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Diptera,Ceratopogonidae,0.012864494993567751
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Diptera,Chironominae,0.13379074993310464
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Coleoptera,Curculionidae,8.576329995711835e-4
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Diptera,Diptera,0.001715265999142367
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Diptera,Dolichopodidae,8.576329995711835e-4
BEOL_2016-05-02_m,BEOL,2016,Multiple,Malacostraca,Amphipoda,Gammarus,8.576329995711835e-4
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Odonata,Gomphidae,0.001715265999142367
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Ephemeroptera,Heptageniidae,0.023156089988421953
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Trichoptera,Hydropsyche,0.001715265999142367
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Trichoptera,Hydroptilidae,8.576329995711835e-4
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Ephemeroptera,Isonychia,0.001715265999142367
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Trichoptera,Leptoceridae,0.00943395999528302
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Trichoptera,Nectopsyche,0.0025728989987135503
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Diptera,Orthocladiinae,0.12778729993610632
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Diptera,Probezzia,0.003430531998284734
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Ephemeroptera,Pseudocloeon,0.003430531998284734
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Diptera,Simulium,0.16552314991723843
BEOL_2016-05-02_m,BEOL,2016,Multiple,Insecta,Diptera,Tipulidae,0.004288164497855918
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Ephemeroptera,Baetis,0.11371988591343407
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Ephemeroptera,Baetodes,0.002932551652492686
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Trichoptera,Cheumatopsyche,0.008913064463479352
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Diptera,Chironomidae,0.006730138349967193
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Coleoptera,Cleptelmis addenda,0.017595310914956166
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Megaloptera,Corydalus cornutus,0.0037151511931878623
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Coleoptera,Helichus,0.011977518622830969
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Coleoptera,Heterelmis,7.33138038123178e-4
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Trichoptera,Hydropsyche,0.002232388616084208
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Trichoptera,Hydropsychidae,0.002232388616084208
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Trichoptera,Hydroptilidae,0.00296552615420736
GICL_2012-10-10_r,GICL,2012,Riffle,Arachnida,Trombidiformes,Lebertia,7.33138038123178e-4
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Coleoptera,Microcylloepus pusillus,0.017076510887978565
GICL_2012-10-10_r,GICL,2012,Riffle,Clitellata,Clitellata,Oligochaeta,0.03267025169885309
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Coleoptera,Optioservus,0.0037151511931878623
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Diptera,Orthocladiinae,0.12689990659879513
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Diptera,Probezzia,7.33138038123178e-4
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Diptera,Simuliidae,0.08985608167251626
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Diptera,Simulium,0.367154769092048
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Diptera,Tabanus,0.002232388616084208
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Plecoptera,Taeniopterygidae,0.00146627557624633
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Diptera,Tanypodinae,0.008863606460907536
GICL_2012-10-10_r,GICL,2012,Riffle,Arachnida,Trombidiformes,Torrenticola,0.05613944191925097
GICL_2012-10-10_r,GICL,2012,Riffle,Insecta,Trichoptera,Trichoptera,0.005230889272006242
GICL_2012-10-10_r,GICL,2012,Riffle,Arachnida,Trombidiformes,Trombidiformes,0.020527861067448774
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Hemiptera,Abedus,7.49625038980502e-4
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Ephemeroptera,Acentrella,0.004497751233883064
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Hemiptera,Ambrysus,7.49625038980502e-4
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Odonata,Anisoptera,0.00149925057796103
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Ephemeroptera,Baetidae,0.003748126194902562
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Diptera,Caloparyphus,0.002248875616941532
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Diptera,Ceratopogonidae,0.00149925057796103
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Diptera,Chironominae,0.04122938714392813
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Odonata,Coenagrionidae,7.49625038980502e-4
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Diptera,Dixa,0.003748126194902562
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Coleoptera,Elmidae,7.49625038980502e-4
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Odonata,Hetaerina,0.00149925057796103
GICL_2012-10-10_r_2,GICL,2012,Riffle,Nematoda,Nematoda,Nematoda,7.49625038980502e-4
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Diptera,Pericoma,7.49625038980502e-4
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Coleoptera,Postelichus,0.00149925057796103
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Coleoptera,Psephenus,7.49625038980502e-4
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Hemiptera,Rhagovelia,0.00149925057796103
GICL_2012-10-10_r_2,GICL,2012,Riffle,Arachnida,Trombidiformes,Sperchonidae,0.013493255701649295
GICL_2012-10-10_r_2,GICL,2012,Riffle,Arachnida,Trombidiformes,Sperchonopsis,0.006746625350824518
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Diptera,Tipulidae,0.00299850115592206
GICL_2012-10-10_r_2,GICL,2012,Riffle,Insecta,Odonata,Zygoptera,0.00149925057796103
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Ephemeroptera,Baetidae,0.0046875
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Ephemeroptera,Baetis,0.05904498
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Plecoptera,Capnia,0.41770595
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Plecoptera,Capniidae,0.06328125
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Diptera,Ceratopogonidae,7.8125e-4
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Trichoptera,Cheumatopsyche,0.0023173485
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Diptera,Chironomidae,0.0030853975
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Diptera,Chironominae,0.034641415
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Megaloptera,Corydalus cornutus,0.001549299
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Coleoptera,Elmidae,7.8125e-4
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Trichoptera,Hydropsyche,0.005455549
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Trichoptera,Hydropsychidae,0.0023305490000000003
GICL_2013-10-29_r,GICL,2013,Riffle,Arachnida,Trombidiformes,Lebertia,0.0038666475
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Coleoptera,Microcylloepus pusillus,0.003125
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Diptera,Orthocladiinae,0.1813736
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Coleoptera,Postelichus,7.8125e-4
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Diptera,Simuliidae,0.0375
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Diptera,Simulium,0.14146145
GICL_2013-10-29_r,GICL,2013,Riffle,Arachnida,Trombidiformes,Sperchonidae,0.00234375
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Plecoptera,Taeniopterygidae,0.010818689999999999
GICL_2013-10-29_r,GICL,2013,Riffle,Arachnida,Trombidiformes,Torrenticola,0.001549299
GICL_2013-10-29_r,GICL,2013,Riffle,Insecta,Ephemeroptera,Tricorythodes,0.001549299
GICL_2013-10-30_m,GICL,2013,Multiple,Insecta,Ephemeroptera,Acentrella,0.00768049
GICL_2013-10-30_m,GICL,2013,Multiple,Insecta,Coleoptera,Agabus,7.68049e-4
GICL_2013-10-30_m,GICL,2013,Multiple,Insecta,Ephemeroptera,Centroptilum,7.68049e-4
GICL_2013-10-30_m,GICL,2013,Multiple,Insecta,Diptera,Ephydridae,7.68049e-4
GICL_2013-10-30_m,GICL,2013,Multiple,Insecta,Ephemeroptera,Fallceon,0.0023041475
GICL_2013-10-30_m,GICL,2013,Multiple,Insecta,Trichoptera,Limnephilidae,0.0023041475
GICL_2013-10-30_m,GICL,2013,Multiple,Insecta,Coleoptera,Optioservus,0.0023041475
GICL_2013-10-30_m,GICL,2013,Multiple,Arachnida,Trombidiformes,Sperchon,0.0015360985
GICL_2013-10-30_m,GICL,2013,Multiple,Arachnida,Trombidiformes,Trombidiformes,0.0015360985
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Ephemeroptera,Acentrella,0.016622460639964733
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Trichoptera,Atopsyche,8.576330330188717e-4
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Ephemeroptera,Baetis,0.21271350818947007
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Plecoptera,Capniidae,0.16335030628898678
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Diptera,Chelifera,8.576330330188717e-4
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Trichoptera,Cheumatopsyche,0.01183012645545987
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Diptera,Chironominae,0.010677939911100685
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Megaloptera,Corydalus cornutus,0.0033127101275393397
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Ephemeroptera,Epeorus,0.003430532132075487
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Ephemeroptera,Fallceon,0.04002104654081029
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Ephemeroptera,Heptageniidae,0.0017152660660377434
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Trichoptera,Hydropsyche,0.010795762415636852
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Trichoptera,Hydropsychidae,0.002455077094520468
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Plecoptera,Isogenoides,0.009375052360939514
GICL_2014-10-29_r,GICL,2014,Riffle,Arachnida,Trombidiformes,Lebertia,0.00564996521752366
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Ephemeroptera,Leptohyphes,0.0059445222288641054
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Ephemeroptera,Leptophlebiidae,0.009997040884886073
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Trichoptera,Micrasema,8.576330330188717e-4
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Coleoptera,Microcylloepus pusillus,0.02493711996007912
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Coleoptera,Optioservus,0.00564996521752366
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Diptera,Orthocladiinae,0.10615058908679767
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Plecoptera,Perlodidae,0.0042292541628262854
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Ephemeroptera,Rhithrogena,8.576330330188717e-4
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Diptera,Simulium,0.07035876270881236
GICL_2014-10-29_r,GICL,2014,Riffle,Arachnida,Trombidiformes,Sperchon,0.020851715802791056
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Diptera,Tabanus,0.0017152660660377434
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Plecoptera,Taeniopterygidae,0.006003430231132064
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Diptera,Tipulidae,0.003430532132075487
GICL_2014-10-29_r,GICL,2014,Riffle,Arachnida,Trombidiformes,Torrenticolidae,0.0017152660660377434
GICL_2014-10-29_r,GICL,2014,Riffle,Insecta,Ephemeroptera,Tricorythodes,0.14344252052253703
GICL_2014-10-29_r,GICL,2014,Riffle,Arachnida,Trombidiformes,Trombidiformes,0.009139410851867317
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Coleoptera,Agabus,0.0015974440615015963
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Hemiptera,Ambrysus,7.987220307507981e-4
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Hemiptera,Belostomatidae,7.987220307507981e-4
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Diptera,Chironomidae,0.0023961660922523944
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Hemiptera,Corixidae,7.987220307507981e-4
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Coleoptera,Dytiscidae,0.004792332184504789
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Ephemeroptera,Ephemerellidae,0.0015974440615015963
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Odonata,Gomphidae,7.987220307507981e-4
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Trichoptera,Helicopsyche,0.024760385953274858
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Odonata,Hetaerina,0.005591055215255626
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Trichoptera,Lepidostoma,0.0015974440615015963
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Trichoptera,Limnephilidae,0.021565495830271588
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Trichoptera,Nectopsyche,0.00718850027675726
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Diptera,Neoplasta,7.987220307507981e-4
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Lepidoptera,Petrophila,7.987220307507981e-4
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Trichoptera,Phylloicus mexicanus,0.0015974440615015963
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Coleoptera,Postelichus,0.004792332184504789
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Diptera,Probezzia,7.987220307507981e-4
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Hemiptera,Rhagovelia,0.0031948881230031926
GICL_2014-10-29_m,GICL,2014,Multiple,Insecta,Diptera,Tanypodinae,0.0015974440615015963
GICL_2014-10-29_m,GICL,2014,Multiple,Arachnida,Trombidiformes,Torrenticola,0.0031948881230031926
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Ephemeroptera,Acentrella,0.011189856974076722
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Ephemeroptera,Baetidae,0.0041846023033236925
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Ephemeroptera,Baetis,0.010415129510488914
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Plecoptera,Capniidae,0.1510453429008689
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Diptera,Ceratopogonidae,0.002336448390186926
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Diptera,Chelifera,7.788159633956498e-4
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Trichoptera,Cheumatopsyche,0.07941060626770152
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Diptera,Chironomidae,0.0015576324267912761
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Diptera,Chironominae,0.01947040408489101
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Megaloptera,Corydalus cornutus,0.0016544724222397962
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Diptera,Diptera,0.0015576324267912761
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Coleoptera,Dytiscidae,7.788159633956498e-4
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Coleoptera,Elmidae,0.01090342448753905
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Ephemeroptera,Epeorus,0.006521050693510619
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Ephemeroptera,Ephemerellidae,0.07533102645944176
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Ephemeroptera,Fallceon,0.0016544724222397962
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Trichoptera,Glossosomatidae,7.788159633956498e-4
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Trichoptera,Helicopsyche,0.01090342448753905
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Trichoptera,Hydropsyche,0.0032121048490310724
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Trichoptera,Hydropsychidae,0.013530394364071465
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Ephemeroptera,Leptohyphes,0.002336448390186926
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Ephemeroptera,Leptophlebiidae,0.0041846023033236925
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Odonata,Libellulidae,0.004087761807875195
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Diptera,Limnophila,0.03816199320638632
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Coleoptera,Microcylloepus pusillus,0.018396973135342262
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Trichoptera,Nectopsyche,0.005060259262167815
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Trichoptera,Oecetis,0.002336448390186926
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Coleoptera,Optioservus,0.02004735405777436
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Coleoptera,Optioservus quadrimaculatus,7.788159633956498e-4
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Diptera,Orthocladiinae,0.045744197850022705
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Plecoptera,Perlodidae,0.0016544724222397962
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Plecoptera,Plecoptera,0.012848421396124196
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Coleoptera,Postelichus,0.03327904343588496
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Coleoptera,Psephenus,0.008562887097544308
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Hemiptera,Rhagovelia,0.0016544724222397962
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Diptera,Simulium,0.009148020570043035
GICL_2015-11-10_r,GICL,2015,Riffle,Arachnida,Trombidiformes,Sperchon,0.015568141768297338
GICL_2015-11-10_r,GICL,2015,Riffle,Arachnida,Trombidiformes,Sperchonopsis,0.012557900909778659
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Diptera,Tabanus,0.009926836533438683
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Plecoptera,Taeniopterygidae,0.10355802013277307
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Diptera,Tanypodinae,0.003115264353582576
GICL_2015-11-10_r,GICL,2015,Riffle,Arachnida,Trombidiformes,Torrenticola,0.003405785839928066
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Trichoptera,Trichoptera,0.00856697959735196
GICL_2015-11-10_r,GICL,2015,Riffle,Insecta,Ephemeroptera,Tricorythodes,0.10666509498674055
GICL_2015-11-10_r,GICL,2015,Riffle,Arachnida,Trombidiformes,Trombidiformes,0.02131446899821996
GICL_2015-11-11_m,GICL,2015,Multiple,Insecta,Coleoptera,Agabus,8.756564588441465e-4
GICL_2015-11-11_m,GICL,2015,Multiple,Insecta,Hemiptera,Ambrysus,0.0017513134176882696
GICL_2015-11-11_m,GICL,2015,Multiple,Insecta,Odonata,Argia,8.756564588441465e-4
GICL_2015-11-11_m,GICL,2015,Multiple,Insecta,Trichoptera,Glossosoma,0.0017513134176882696
